Year,NDVI,Rain,Temperature,3year_temp,5year_temp
1982,0.723038259,6.626062908,8.335330614,8.313123553,8.426068104
1983,0.703735263,7.991572325,8.31403443,8.363718509,8.532184789
1984,0.684993057,6.552953167,8.290005614,8.493658493,8.709356139
1985,0.803653741,8.670232149,8.487115482,8.685627966,8.701134613
1986,0.760289101,7.459837763,8.703854382,8.923219867,8.80688578
1987,0.788092807,7.159793254,8.865914035,8.771567734,8.775849351
1988,0.768304171,6.441943904,9.199891184,8.821553494,8.636807143
1989,0.849959811,7.309548346,8.248897982,8.604480512,8.561188362
1990,0.857501636,9.640504092,9.015871316,8.578415516,8.606037046
1991,0.819146377,5.232876886,8.548672237,8.513724171,8.378011361
1992,0.724923711,7.846027737,8.170702996,8.488547227,8.286160344
1993,0.733729048,4.829031816,8.821797281,8.390227192,8.213731643
1994,0.731892846,7.138665697,8.473141404,8.146100481,8.284466538
1995,0.860152452,5.649143061,7.87574289,7.924573177,8.333834248
1996,0.864705996,6.934305175,8.089417149,8.357816132,8.522290056
1997,0.844885697,6.475361167,7.808559491,8.568003734,8.638814565
1998,0.822317276,8.982457939,9.175471754,8.904491213,8.803561289
1999,0.776695158,6.413171346,8.719979956,8.736680526,8.711261882
2000,0.74841136,7.836404561,8.81802193,8.707451579,8.636303075
2001,0.818286469,8.225372566,8.672039693,8.672769174,8.545370969
2002,0.816990825,4.358507469,8.632293114,8.563817917,8.518509197
2003,0.825017461,4.676590794,8.713974715,8.474174013,8.461316961
2004,0.817484846,6.937930811,8.345185921,8.415426053,8.342470847
2005,0.785629675,10.40598721,8.363361404,8.415808056,8.381348328
2006,0.810489382,9.310568421,8.537730833,8.334602304,8.424528696
2007,0.832184355,9.368310368,8.34633193,8.335216468,8.341727498
2008,0.835686105,9.366142684,8.119744149,8.41286024,8.37864334
2009,0.870671509,7.250622395,8.539573325,8.414187137,8.443368138
2010,0.848640382,6.375253289,8.579263246,8.411299743,8.411299743
2011,0.820342575,6.277551798,8.123724842,8.327317991,8.327317991
2012,0.788880307,8.659400421,8.53091114,8.53091114,8.53091114